,country,sum
0,關島,1
1,薩摩亞,158
2,薩爾瓦多,1
3,韓國,67
4,賴比瑞亞,5
5,盧森堡,2
6,澳門,4
7,澳大利亞,23
8,緬甸,3
9,模里西斯,37
10,德國,62
11,寮國,1
12,墨西哥,11
13,聖文森及格瑞那丁,0
14,義大利,16
15,瑞典,1
16,瑞士,6
17,新加坡,141
18,奧地利,3
19,塞席爾,12
20,越南,93
21,菲律賓,24
22,智利,2
23,荷蘭,73
24,捷克,13
25,馬紹爾群島,2
26,馬來西亞,51
27,紐西蘭,2
28,泰國,63
29,挪威,1
30,庫克群島,1
31,哥倫比亞,2
32,香港,350
33,英屬維京群島,438
34,英屬開曼群島,201
35,英屬安奎拉島,1
36,英國,58
37,美國,602
38,玻利維亞,1
39,柬埔寨,10
40,南非,1
41,俄羅斯,6
42,阿根廷,1
43,阿拉伯聯合大公國,2
44,波蘭,5
45,法國,18
46,孟加拉,1
47,其他地區,3
48,亞洲其他地區,1
49,貝里斯,11
50,沙烏地阿拉伯,2
51,汶萊,12
52,西班牙,5
53,百慕達,24
54,印度,24
55,印尼,27
56,匈牙利,2
57,瓜地馬拉,1
58,尼加拉瓜,7
59,史瓦濟蘭,0
60,卡達,1
61,加拿大,11
62,以色列,3
63,比利時,1
64,日本,206
65,巴拿馬,16
66,巴哈馬,2
67,巴拉圭,1
68,巴西,18
69,丹麥,6
70,土耳其,2


