鄉鎮市區,外商個數,所在縣市,巴西,瑞士,丹麥,荷蘭,韓國,其他地區,英屬開曼群島,馬來西亞,土耳其,百慕達,泰國,塞席爾,卡達,越南,哥倫比亞,菲律賓,義大利,澳門,香港,孟加拉,模里西斯,英國,加拿大,日本,英屬維京群島,美國,俄羅斯,捷克,新加坡,薩摩亞,印度,德國
研發二,4,新竹市,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
科學園,46,新竹市,0,0,0,2,0,1,4,3,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,5,3,15,0,2,1,2,0,0
東　區,108,新竹市,1,0,2,6,2,0,9,1,0,0,2,2,0,0,0,1,1,0,8,1,1,0,0,16,10,27,1,0,11,2,3,1
金山八,5,新竹市,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
新竹科,74,新竹市,2,1,0,4,0,0,5,6,1,0,1,1,1,0,2,0,0,1,8,0,0,2,0,2,5,21,0,2,2,1,1,5
科學工,38,新竹市,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,5,13,9,0,0,1,0,0,0
北　區,16,新竹市,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,8,0,0,0,1,0,0
香山區,10,新竹市,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,1
復中里,2,新竹市,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
光復路,5,新竹市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0
水利路,2,新竹市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
東大路,1,新竹市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
東光路,4,新竹市,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
公道五,4,新竹市,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
和平路,1,新竹市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
千甲里,1,新竹市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
力行路,8,新竹市,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0
篤行一,2,新竹市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
東華路,1,新竹市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
