鄉鎮市區,外商個數,所在縣市,巴西,義大利,貝里斯,香港,荷蘭,印尼,模里西斯,韓國,日本,馬來西亞,英屬開曼群島,英屬維京群島,美國,泰國,汶萊,新加坡,法國,薩摩亞,印度,越南,德國
新埔鎮,4,新竹縣,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0
寶山鄉,6,新竹縣,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0
新竹縣,2,新竹縣,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
芎林鄉,4,新竹縣,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
湖口鄉,38,新竹縣,0,1,0,6,0,1,0,1,2,0,1,4,5,1,0,3,0,7,1,3,2
竹北市,35,新竹縣,2,0,1,2,1,0,2,4,2,1,3,4,6,1,0,1,1,3,0,0,1
科學工,14,新竹縣,0,0,0,1,0,0,0,1,5,0,0,3,4,0,0,0,0,0,0,0,0
鳳山村,4,新竹縣,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
竹東鎮,5,新竹縣,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
新豐鄉,1,新竹縣,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
工業東,2,新竹縣,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
台元街,4,新竹縣,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
新竹工,1,新竹縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
新竹科,2,新竹縣,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
