鄉鎮市區,外商個數,所在縣市,巴西,緬甸,波蘭,丹麥,荷蘭,印尼,韓國,英屬開曼群島,馬來西亞,柬埔寨,百慕達,泰國,法國,越南,香港,模里西斯,英國,日本,英屬維京群島,美國,以色列,墨西哥,澳大利亞,新加坡,印度,薩摩亞,德國
西屯區,24,臺中市,0,2,0,0,0,0,0,2,0,2,0,0,0,2,1,0,0,2,5,3,0,0,0,0,0,4,1
大甲鎮,10,臺中市,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,1,1,1,0,0,0,1,0,0,0
南屯區,18,臺中市,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,1,5,1,0,0,2,0,2,2
中部科,11,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1,1,0,0,0,0,0,0
大里區,9,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,3,0,0,0,0,0,0,0
順帆路,4,臺中市,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
工業區,9,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,3,0
潭子區,19,臺中市,0,0,0,0,0,0,1,3,0,0,1,0,0,2,0,0,2,1,1,2,0,0,1,2,1,0,2
工業六,3,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
大雅鄉,3,臺中市,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
大雅區,11,臺中市,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,0,0,0,0,0,0,0
潭子鄉,4,臺中市,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
港埠路,5,臺中市,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
科雅路,2,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
民生路,1,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
太平區,5,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0
西　區,15,臺中市,1,0,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,3,0,2,1,1,0,0,1
潭富路,3,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
大里市,1,臺中市,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
梧棲區,3,臺中市,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
台中港,2,臺中市,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
梧棲鎮,1,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
五權路,2,臺中市,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
后里區,1,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
南區忠,2,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
大甲區,2,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
北屯區,1,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
中　區,1,臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
