鄉鎮市區,外商個數,所在縣市,巴西,荷蘭,印尼,丹麥,韓國,馬來西亞,英屬開曼群島,百慕達,泰國,汶萊,法國,越南,貝里斯,菲律賓,香港,模里西斯,英國,日本,巴拿馬,英屬維京群島,美國,null,澳大利亞,新加坡,薩摩亞,印度
久堂里,3,高雄市,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
楠梓加,14,高雄市,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,3,0,3,1,0,0,3,0,0
大社區,7,高雄市,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
路竹區,15,高雄市,0,1,0,0,0,2,1,0,2,0,0,2,0,0,2,0,0,1,0,2,1,0,0,0,1,0
楠梓區,18,高雄市,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,10,0,0,0,2,0
岡山區,9,高雄市,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0
前鎮區,42,高雄市,1,0,0,1,3,2,3,0,0,0,1,6,1,0,2,1,0,6,0,3,4,1,1,4,1,1
三民區,18,高雄市,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,0,7,1,0,1,0,2,0
小港區,9,高雄市,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,2,0
前金區,23,高雄市,0,0,1,0,1,0,0,2,0,0,0,1,0,0,2,0,0,5,0,2,9,0,0,0,0,0
高雄加,4,高雄市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
仁武區,3,高雄市,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
鼓山區,1,高雄市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
中正四,6,高雄市,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0
苓雅區,10,高雄市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0
沿海二,1,高雄市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
橋頭區,8,高雄市,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0
五福三,1,高雄市,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
